employee_id,name,department,store_id,salary,hire_date
1,Employee-1,Operations,9,41555.23,2022-08-31
2,Employee-2,Operations,9,53855.1,2024-11-21
3,Employee-3,Finance,10,116792.66,2023-01-09
4,Employee-4,IT,12,48103.6,2021-09-30
5,Employee-5,IT,7,88489.03,2022-06-16
6,Employee-6,Finance,9,40890.38,2021-04-05
7,Employee-7,Marketing,2,31893.08,2023-02-08
8,Employee-8,HR,4,49819.56,2020-05-25
9,Employee-9,IT,12,35298.64,2020-05-18
10,Employee-10,Marketing,1,36377.16,2021-05-02
11,Employee-11,IT,5,73687.3,2023-01-09
12,Employee-12,IT,3,114196.28,2023-03-15
13,Employee-13,Finance,10,51869.75,2022-08-26
14,Employee-14,Operations,7,38489.32,2023-09-11
15,Employee-15,Marketing,7,68122.08,2022-08-14
16,Employee-16,Sales,12,90602.81,2023-08-16
17,Employee-17,Sales,2,66235.92,2021-11-25
18,Employee-18,Operations,2,47243.11,2023-01-03
19,Employee-19,Operations,8,67969.35,2021-07-24
20,Employee-20,Operations,8,108703.74,2020-06-03
21,Employee-21,HR,8,38811.79,2023-08-28
22,Employee-22,Sales,9,117209.66,2024-03-23
23,Employee-23,Operations,4,66577.27,2022-09-12
24,Employee-24,Finance,4,111219.86,2020-12-03
25,Employee-25,Sales,7,118677.8,2021-06-27
26,Employee-26,Marketing,8,68070.67,2024-02-05
27,Employee-27,IT,9,94656.74,2020-11-13
28,Employee-28,Marketing,4,49593.08,2020-04-29
29,Employee-29,IT,10,78797.57,2024-03-11
30,Employee-30,Sales,6,34512.81,2022-09-03
31,Employee-31,HR,9,44168.95,2022-11-06
32,Employee-32,Operations,2,36166.92,2020-05-19
33,Employee-33,Operations,11,66339.8,2023-03-12
34,Employee-34,HR,4,83506.72,2023-06-22
35,Employee-35,Finance,2,89163.58,2023-03-03
36,Employee-36,Marketing,9,114123.56,2021-02-22
37,Employee-37,IT,11,58276.55,2021-06-27
38,Employee-38,Operations,7,90452.12,2021-09-06
39,Employee-39,Marketing,8,113611.65,2020-05-28
40,Employee-40,Finance,1,85904.33,2023-02-27
41,Employee-41,Sales,2,78387.1,2022-11-02
42,Employee-42,Operations,5,113993.34,2020-05-20
43,Employee-43,Marketing,4,55648.87,2022-06-16
44,Employee-44,IT,9,57226.54,2024-07-10
45,Employee-45,HR,11,30704.08,2024-07-31
46,Employee-46,Marketing,9,113858.04,2020-07-31
47,Employee-47,Marketing,3,40388.58,2020-08-07
48,Employee-48,HR,12,43990.31,2021-07-31
49,Employee-49,Operations,10,94585.1,2021-02-20
50,Employee-50,IT,11,106762.15,2022-11-01
51,Employee-51,Marketing,8,111480.28,2024-09-28
52,Employee-52,Sales,1,87085.6,2024-08-25
53,Employee-53,Sales,5,30319.11,2024-04-28
54,Employee-54,IT,3,118181.82,2020-11-26
55,Employee-55,Finance,12,79651.24,2022-05-25
56,Employee-56,Sales,9,40068.65,2023-11-16
57,Employee-57,HR,3,33242.53,2022-01-26
58,Employee-58,HR,10,43328.44,2020-09-18
59,Employee-59,Marketing,1,62818.64,2024-06-18
60,Employee-60,Marketing,1,48906.89,2021-05-26
